msg_type,processing_time_ns,buff_read_ns
match,16172,1926
l2update,10704,1710
match,16251,1951
l2update,10888,1701
match,16580,4323
l2update,10676,1755
match,16382,2025
l2update,22256,2237
match,17551,3565
l2update,11421,1982
match,16624,2163
l2update,13293,17465
match,16241,2356
l2update,10890,1725
match,16473,2064
l2update,10848,1769
match,16505,2054
l2update,10734,1712
match,16428,2048
l2update,11688,4444
match,16509,2091
l2update,10879,1690
match,16612,2008
l2update,10782,1690
match,16533,2021
l2update,10922,1763
match,16796,4429
l2update,10803,1758
match,15966,2046
l2update,10765,1754
match,16834,2017
l2update,11026,1643
match,16726,1923
l2update,10868,1716
match,16755,4199
l2update,10974,1798
match,16081,1984
l2update,10946,1716
match,16438,2039
l2update,10801,1708
match,16414,1910
l2update,10983,1645
match,16614,4266
l2update,10816,1809
match,16397,1986
l2update,11298,1694
match,16396,1936
l2update,11456,1730
match,16876,1894
l2update,11371,3975
match,16409,2157
l2update,10816,1688
match,16288,2038
l2update,11124,1943
match,16740,2043
l2update,10882,1732
match,16466,1975
l2update,11142,4057
match,15883,2071
l2update,11113,1722
match,15989,2041
l2update,11474,1754
match,15922,1915
l2update,10786,1720
match,17113,4341
l2update,11281,1782
match,16041,1998
l2update,10790,1648
match,16401,1998
l2update,10865,1649
match,16213,2020
l2update,10733,1668
match,16787,4223
l2update,11271,1754
match,15989,2052
l2update,10861,1754
match,16245,2001
l2update,10643,1647
match,15752,1972
l2update,11279,1711
match,16637,4272
l2update,10835,1713
match,15914,2047
l2update,10869,1746
match,15992,2026
l2update,10742,1637
match,19736,2043
l2update,10975,2091
match,16838,4801
l2update,10785,1682
match,16013,2013
l2update,11320,1775
match,15971,2050
l2update,10903,1746
match,16452,1999
l2update,11602,4031
match,16366,2100
l2update,10826,1718
